{'Tỉnh thành[a]': 'TP. Hồ Chí Minh', 'Ca nhiễm': '121.409', 'Đang điều trị': '71.247', 'Khác': '1', 'Hồi phục': '46.783', 'Tử vong[b]': '2.378'}
{'Tỉnh thành[a]': 'Ninh Bình', 'Ca nhiễm': '91', 'Đang điều trị': '44', 'Khác': '0', 'Hồi phục': '47', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Hà Nam', 'Ca nhiễm': '73', 'Đang điều trị': '19', 'Khác': '0', 'Hồi phục': '54', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Lâm Đồng', 'Ca nhiễm': '71', 'Đang điều trị': '69', 'Khác': '0', 'Hồi phục': '2', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Điện Biên', 'Ca nhiễm': '63', 'Đang điều trị': '2', 'Khác': '0', 'Hồi phục': '61', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Cà Mau', 'Ca nhiễm': '47', 'Đang điều trị': '39', 'Khác': '0', 'Hồi phục': '8', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Quảng Bình', 'Ca nhiễm': '47', 'Đang điều trị': '47', 'Khác': '0', 'Hồi phục': '0', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Sơn La', 'Ca nhiễm': '46', 'Đang điều trị': '45', 'Khác': '0', 'Hồi phục': '1', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Hòa Bình', 'Ca nhiễm': '44', 'Đang điều trị': '11', 'Khác': '0', 'Hồi phục': '33', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Lào Cai', 'Ca nhiễm': '44', 'Đang điều trị': '43', 'Khác': '0', 'Hồi phục': '1', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Hải Phòng', 'Ca nhiễm': '38', 'Đang điều trị': '26', 'Khác': '0', 'Hồi phục': '12', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Quảng Trị', 'Ca nhiễm': '36', 'Đang điều trị': '23', 'Khác': '0', 'Hồi phục': '12', 'Tử vong[b]': '1'}
{'Tỉnh thành[a]': 'Nam Định', 'Ca nhiễm': '33', 'Đang điều trị': '7', 'Khác': '0', 'Hồi phục': '26', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Hà Giang', 'Ca nhiễm': '23', 'Đang điều trị': '19', 'Khác': '0', 'Hồi phục': '4', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Thái Nguyên', 'Ca nhiễm': '23', 'Đang điều trị': '13', 'Khác': '0', 'Hồi phục': '10', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Kon Tum', 'Ca nhiễm': '20', 'Đang điều trị': '20', 'Khác': '0', 'Hồi phục': '0', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Phú Thọ', 'Ca nhiễm': '15', 'Đang điều trị': '8', 'Khác': '0', 'Hồi phục': '7', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Yên Bái', 'Ca nhiễm': '7', 'Đang điều trị': '2', 'Khác': '0', 'Hồi phục': '5', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Bắc Kạn', 'Ca nhiễm': '6', 'Đang điều trị': '6', 'Khác': '0', 'Hồi phục': '0', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Lai Châu', 'Ca nhiễm': '2', 'Đang điều trị': '1', 'Khác': '0', 'Hồi phục': '1', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Tuyên Quang', 'Ca nhiễm': '2', 'Đang điều trị': '1', 'Khác': '0', 'Hồi phục': '1', 'Tử vong[b]': '0'}
{'Tỉnh thành[a]': 'Cao Bằng', 'Ca nhiễm': '0', 'Đang điều trị': '0', 'Khác': '0', 'Hồi phục': '0', 'Tử vong[b]': '0'}
